,name,price,rating,zip code,latitude,longitude,review count,competitors,subway_around,target1,target1_norm,target2,target2_norm,target3,target3_norm
24,Radiance Tea House and Books,$$,4.0,10019.0,40.7639799,-73.98065,748,34,19,1349.75,0.16841247741319101,7480,0.16256800870511426,4.0,0.75
25,Joe's Shanghai,$$,4.0,10013.0,40.714669144289104,-73.99776022066541,4596,222,0,9035.623333333333,0.9523176019361111,45960,1.0,4.0,0.75
26,Xi'an Famous Foods,$$,4.0,10019.0,40.7620964050293,-73.9773178100586,195,36,12,243.75,0.055608241626190914,1950,0.04221980413492927,4.0,0.75
27,Buddakan,$$$,4.0,10011.0,40.7422275387194,-74.00470664781571,3216,14,8,9503.13,1.0,32160,0.6996735582154516,4.0,0.75
28,Noodle Fun,$$,4.0,10128.0,40.779533386230504,-73.94703674316409,100,19,0,127.5,0.04375155771096599,1000,0.021545157780195865,4.0,0.75
29,China Blue,$$,4.0,10013.0,40.724081417449,-74.00986075401309,389,5,2,621.6233333333333,0.09414866892361679,3890,0.08443960826985854,4.0,0.75
30,Very Fresh Noodles,$$,4.0,10011.0,40.742338700848606,-74.0061374945942,289,12,0,433.13,0.07492367216266657,2890,0.06267682263329706,4.0,0.75
31,Xi'an Famous Foods,$,4.0,10003.0,40.72782,-73.98550999999999,1394,51,0,1207.4971428571428,0.15390368461163828,13940,0.3031556039173014,4.0,0.75
32,Asura Asian Bistro,$$,4.0,10001.0,40.7522492,-73.991222,248,40,29,379.6877777777778,0.06947294066489369,2480,0.05375408052230685,4.0,0.75
33,Pig Heaven,$$,4.0,10028.0,40.775433,-73.956856,177,23,4,104.0,0.04135472268294203,1770,0.03830250272034821,4.0,0.75
34,Hunan Bistro,$$,4.0,10003.0,40.73234,-73.9881,144,54,9,101.49714285714282,0.0410994488246382,1440,0.031120783460282915,4.0,0.75
35,MáLà Project,$$,4.0,10009.0,40.727129999999995,-73.98541999999999,298,50,0,477.2275,0.07942130759450855,2980,0.0646354733405876,4.0,0.75
36,Decoy,$$$,4.0,10014.0,40.734196000000004,-74.006519,245,21,4,428.53363636363633,0.0744548753386167,2450,0.053101196953210014,4.0,0.75
37,Fishmarket Restaurant,$$,4.5,10038.0,40.70717,-74.00192,380,26,0,710.5,0.10321346500194344,3800,0.08248095756256801,4.5,0.875
38,Joe's Shanghai,$$,3.5,10019.0,40.7627694517048,-73.9759005803566,1158,31,14,2169.75,0.2520467209442399,11580,0.25179542981501635,3.5,0.625
39,Lam Zhou Handmade Noodle & Dumpling,$,4.0,10013.0,40.715559999999996,-73.99691999999999,1168,225,0,1011.6233333333333,0.13392593109082296,11680,0.25397170837867244,4.0,0.75
40,Uncle Ted's Modern Chinese Cuisine,$$,4.0,10012.0,40.72882,-73.999961,345,29,3,491.2669230769231,0.08085323019042419,3450,0.07486398258977149,4.0,0.75
41,Niu Noodle House,$$,4.0,10014.0,40.734352,-74.00008199999999,524,31,9,741.5336363636363,0.10637867805229756,5240,0.11381936887921654,4.0,0.75
42,Flor De Mayo,$$,4.0,10024.0,40.7860908508301,-73.9765853881836,983,16,4,1829.52,0.21734564938744869,9830,0.21371055495103372,4.0,0.75
43,Dim Sum Palace,$$,4.0,10019.0,40.76259,-73.97681,66,32,12,-14.25,0.029294052807885287,660,0.014145810663764961,4.0,0.75
44,Chop Shop II,$$,4.0,10010.0,40.7433280944824,-73.9911651611328,150,34,19,230.4125,0.05424791025656242,1500,0.03242655059847661,4.0,0.75
45,Shanghai Asian Manor,$$,4.0,10013.0,40.71441,-73.99902,1152,219,0,2147.6233333333334,0.24978995627530046,11520,0.25048966267682266,4.0,0.75
46,Ding Szechuan and Hot Pot Restaurant,$$,3.5,10036.0,40.760528564453104,-73.98638916015621,118,52,26,168.67444444444442,0.0479510619962371,1180,0.02546245919477693,3.5,0.625
47,The Bao,$$,3.5,10003.0,40.72939,-73.988912,838,53,4,1489.4971428571428,0.18266570494792583,8380,0.18215451577801958,3.5,0.625
48,Yummy City,$,4.5,10029.0,40.7879244458184,-73.94898635581801,21,24,6,-32.27428571428572,0.02745570219702946,210,0.004352557127312296,4.5,0.875
49,Fu Xing,$,4.0,10018.0,40.754589387013,-73.9912518276348,33,40,14,-39.29434782608695,0.026739705143052052,330,0.006964091403699674,4.0,0.75
50,Bugis Street Brasserie & Bar,$$,5.0,10036.0,40.756768900000004,-73.9843329,8,52,23,-51.32555555555557,0.02551260641473618,80,0.0015233949945593036,5.0,1.0
51,Spice Symphony,$$,4.0,10016.0,40.744721999999996,-73.981202,432,59,16,804.0775,0.11275771308002483,4320,0.09379760609357998,4.0,0.75
52,Nom Wah Tu,$$,4.0,10002.0,40.715340000000005,-73.9914,9,221,4,-116.5,0.018865270611483152,90,0.0017410228509249185,4.0,0.75
53,Szechuan Gourmet,$$,3.5,10018.0,40.752359999999996,-73.98355,814,54,12,1555.705652173913,0.18941850810893374,8140,0.17693144722524484,3.5,0.625
54,Wu Liang Ye,$$,3.5,10036.0,40.7578086853027,-73.9799423217773,427,38,17,786.6744444444445,0.11098272358427153,4270,0.0927094668117519,3.5,0.625
55,Spicy Village,$,4.0,10002.0,40.71695,-73.99327,395,228,3,260.5,0.05731662403978246,3950,0.08574537540805223,4.0,0.75
56,The Tang,$$,4.0,10009.0,40.72703,-73.98539,168,50,0,217.22750000000002,0.0529031328163711,1680,0.03634385201305767,4.0,0.75
57,Lotus Blue,$$,3.5,10003.0,40.736070750946,-73.99174660587849,6,41,12,-174.50285714285718,0.012949386367846132,60,0.001088139281828074,3.5,0.625
58,Hunan Manor,$$,3.5,10016.0,40.74965,-73.97707,197,45,12,334.0775,0.06482101251954557,1970,0.0426550598476605,3.5,0.625
59,Xi'an Famous Foods,$,4.0,10025.0,40.79847,-73.96934,267,28,5,121.99666666666667,0.04319025634482875,2670,0.05788900979325354,4.0,0.75
60,Radiance,$$,4.0,10022.0,40.7555779423723,-73.9703503944427,117,39,16,56.87299999999999,0.03654809951844479,1170,0.025244831338411315,4.0,0.75
61,Legend 72,$$,3.0,10023.0,40.77796,-73.9796901,146,11,4,289.5,0.06027442045734394,1460,0.031556039173014146,3.0,0.5
62,Spice Symphony,$$,4.0,10022.0,40.7558937072754,-73.9715347290039,86,43,16,-5.1270000000000095,0.030224534763658162,860,0.018498367791077257,4.0,0.75
63,Little Alley,$$,4.0,10016.0,40.747440000000005,-73.97728000000001,81,50,0,102.07749999999999,0.041158641179053684,810,0.017410228509249184,4.0,0.75
64,Pa Pa Thai Cuisine,$,4.5,10022.0,40.7593778206059,-73.9624154842934,56,32,0,-121.12700000000001,0.018393349093412222,560,0.011969532100108813,4.5,0.875
65,Ningbo Cafe,$$,4.0,10280.0,40.708141,-74.017791,78,13,0,153.5,0.04640337518877974,780,0.01675734494015234,4.0,0.75
66,Sun Hing Lung Co,$,4.5,10002.0,40.7129253167705,-73.9949862286448,103,215,0,-31.5,0.027534673904335782,1030,0.02219804134929271,4.5,0.875
67,Vanessa's Dumpling House,$,4.0,10002.0,40.71839,-73.99173990000001,2093,227,9,1958.5,0.23050070393700325,20930,0.45527747551686615,4.0,0.75
68,Land of Plenty,$$,3.5,10022.0,40.76063,-73.96664,239,37,11,300.873,0.06143438661792763,2390,0.05179542981501632,3.5,0.625
69,Xi'an Famous Foods,$,4.0,10012.0,40.7209700345993,-73.9961278438568,104,196,6,-94.73307692307691,0.021085343959699,1040,0.022415669205658323,4.0,0.75
70,21 Shanghai House,$$,4.0,10002.0,40.7140138244835,-73.99644549325409,319,222,0,503.5,0.08210091815934939,3190,0.0692056583242655,4.0,0.75
71,Carma East,$$,4.0,10009.0,40.725409899999995,-73.98326999999999,112,40,0,105.2275,0.041479919065788816,1120,0.024156692056583242,4.0,0.75
72,Tasty Hand-Pulled Noodles,$,4.0,10013.0,40.7142,-73.99786999999999,1239,220,0,1082.6233333333332,0.1411674326648528,12390,0.2694232861806311,4.0,0.75
73,Grand Sichuan,$$,3.5,10001.0,40.747413,-74.001052,369,20,5,621.6877777777778,0.0941552418045447,3690,0.08008705114254625,3.5,0.625
74,Hao Noodle and Tea By Madam Zhu's Kitchen,$$,3.5,10014.0,40.7334863190479,-73.9998929006093,278,33,11,249.53363636363633,0.05619813193366822,2780,0.0602829162132753,3.5,0.625
75,La Salle Dumpling Room,$$,4.0,10027.0,40.814029999999995,-73.95983000000001,118,9,4,176.0,0.04869821723688779,1180,0.02546245919477693,4.0,0.75
76,Tang Pavilion,$$,3.5,10019.0,40.762848999999996,-73.977189,264,27,12,381.75,0.06968327285458695,2640,0.05723612622415669,3.5,0.625
77,Yuan,$$,3.5,10003.0,40.72975,-73.98724,49,55,1,-88.50285714285718,0.021720782640614677,490,0.01044613710554951,3.5,0.625
78,Junzi Kitchen,$$,4.0,10025.0,40.8057641877461,-73.9652019005902,54,16,8,-37.00333333333333,0.02697337253819854,540,0.011534276387377584,4.0,0.75
79,Cheong Fun Cart,$,5.0,10013.0,40.7176279773311,-73.99637368570559,35,225,3,-121.3766666666667,0.018367884846093214,350,0.007399347116430903,5.0,1.0
80,Shu Han Ju,$$,3.5,10011.0,40.73558,-73.99843,110,34,15,75.13,0.03841018535276961,1100,0.02372143634385201,3.5,0.625
81,Little Tong Noodle Shop,$$,4.0,10003.0,40.72939,-73.98434,111,52,4,35.49714285714282,0.034367912150187925,1110,0.023939064200217627,4.0,0.75
82,Noodle Village,$,4.0,10013.0,40.714166999999996,-73.99880300000001,700,219,0,543.6233333333333,0.08619321649017556,7000,0.15212187159956475,4.0,0.75
83,Savour Sichuan,$$,3.5,10018.0,40.75311,-73.98614,142,47,26,211.70565217391305,0.052339943101946285,1420,0.030685527747551688,3.5,0.625
84,Golden Forest,$,4.0,10002.0,40.716648,-73.989471,104,187,9,-30.5,0.027636666884251693,1040,0.022415669205658323,4.0,0.75
85,Ahana,$$,4.0,10065.0,40.762245799999995,-73.9598571,100,19,0,-7.828571428571422,0.02994899344320247,1000,0.021545157780195865,4.0,0.75
86,Hakkasan,$$$$,3.5,10036.0,40.758619,-73.989961,680,49,9,2652.6744444444444,0.30130162410736566,6800,0.14776931447225244,3.5,0.625
87,Spice Noodle,$$$,3.5,10029.0,40.7867088,-73.9499588,25,26,4,21.725714285714282,0.03296332311248878,250,0.005223068552774755,3.5,0.625
88,La Vie en Szechuan,$$,3.5,10016.0,40.7473584983999,-73.98439809325409,365,57,10,670.0775,0.09909065377129243,3650,0.07921653971708378,3.5,0.625
89,Pinch Chinese,$$,4.0,10012.0,40.72645,-74.0018,106,26,3,13.266923076923092,0.032100585790617635,1060,0.022850924918389554,4.0,0.75
90,Happy Hot Hunan,$$,3.5,10025.0,40.80133,-73.96466,95,25,0,44.99666666666667,0.03533679689130343,950,0.020457018498367792,3.5,0.625
91,Hot Kitchen,$$,3.5,10022.0,40.7570698,-73.9674267,133,35,6,88.87299999999999,0.03981187487575401,1330,0.028726877040261153,3.5,0.625
92,Asia Express,$,3.5,10016.0,40.741,-73.97906,37,37,0,-22.922500000000007,0.028409518689564525,370,0.007834602829162133,3.5,0.625
93,Auntie Guan's Kitchen,$,3.5,10011.0,40.73863,-73.98193,104,40,0,-40.870000000000005,0.026578999682523675,1040,0.022415669205658323,3.5,0.625
94,Shorty Tang Noodle Shop,$$,3.5,10011.0,40.740190000000005,-74.00187,98,22,16,51.129999999999995,0.03596235383478769,980,0.021109902067464634,3.5,0.625
95,Chef Ho's,$$,3.5,10128.0,40.77997,-73.95,183,24,3,293.5,0.0606823923770076,1830,0.03960826985854189,3.5,0.625
96,RedFarm,$$$,3.5,10024.0,40.782051,-73.98041500000001,447,14,4,1204.52,0.1536000369400029,4470,0.0970620239390642,3.5,0.625
97,Hing Won,$,3.5,10036.0,40.7579956054688,-73.9803848266602,167,41,17,99.67444444444443,0.04091354638203908,1670,0.036126224156692054,3.5,0.625
98,Mapo Tofu,$$,3.5,10016.0,40.749832,-73.977531,275,49,12,490.0775,0.08073191738642804,2750,0.05963003264417845,3.5,0.625
99,Grand Sichuan Eastern,$$,3.5,10022.0,40.758308410644496,-73.9663619995117,209,34,3,240.873,0.055314807822972836,2090,0.045266594124047876,3.5,0.625
100,Ollie's Sichuan,$$,3.0,10036.0,40.75884,-73.99319,387,39,1,706.6744444444445,0.10282328519099845,3870,0.08400435255712731,3.0,0.5
101,Wa Jeal Sichuan Chili House,$$,3.5,10028.0,40.77536,-73.95317,353,28,4,456.0,0.07725625161334351,3530,0.07660500544069641,3.5,0.625
102,Red Hot HotPot,$$,4.0,10025.0,40.8014032,-73.9615043,6,25,3,-133.00333333333333,0.017182046466270865,60,0.001088139281828074,4.0,0.75
103,King's Kitchen,$,4.0,10002.0,40.713985,-73.993675,122,221,3,-12.5,0.029472540522738136,1220,0.026332970620239392,4.0,0.75
104,Szechuan Garden Kitchen,$,4.0,10026.0,40.802006,-73.956726,11,17,7,-46.0,0.02605577569555504,110,0.002176278563656148,4.0,0.75
105,Mee Noodle Shop & Grill,$,3.5,10022.0,40.7540692621136,-73.9688620062703,239,37,0,61.87299999999999,0.03705806441802435,2390,0.05179542981501632,3.5,0.625
106,Flor de Mayo,$$,4.0,10025.0,40.797832,-73.969948,425,26,5,704.9966666666667,0.10265216363580619,4250,0.09227421109902068,4.0,0.75
107,Rice & Gold,$$,4.0,10013.0,40.715990000000005,-73.99683,12,224,0,-132.3766666666667,0.017245962067018165,120,0.002393906420021763,4.0,0.75
108,Main Noodle House,$$,3.5,10018.0,40.752143,-73.986396,303,46,20,533.705652173913,0.08518168263487036,3030,0.06572361262241568,3.5,0.625
109,Szechuan Gourmet 56,$$,3.0,10019.0,40.765716999999995,-73.98286709999999,302,34,22,457.75,0.07743473932819636,3020,0.06550598476605006,3.0,0.5
110,BaoHaus,$,3.5,10003.0,40.7324690923782,-73.98571360111241,1650,55,7,1463.4971428571428,0.1800138874701121,16500,0.3588683351468988,3.5,0.625
111,A Taste Of China,$$,4.0,10010.0,40.7377036968826,-73.9813949,33,42,0,-3.5875000000000057,0.030381552956238712,330,0.006964091403699674,4.0,0.75
112,Hot Sichuan,$$,3.5,10011.0,40.74354,-74.00326,82,15,2,19.129999999999995,0.03269857847747847,820,0.0176278563656148,3.5,0.625
113,A-jiao,$$,3.5,10128.0,40.783159000000005,-73.94824399999999,85,26,4,97.5,0.04069176831348859,850,0.018280739934711642,3.5,0.625
114,Wok 88,$$,3.5,10128.0,40.78042,-73.95322,195,23,9,317.5,0.06313022389498951,1950,0.04221980413492927,3.5,0.625
115,Congee Village,$$,3.5,10002.0,40.7187,-73.99031,1276,175,11,2417.5,0.2773154817184074,12760,0.27747551686615884,3.5,0.625
116,Sichuan Bistro,$$,4.0,10010.0,40.73772,-73.98139,22,42,0,-25.587500000000006,0.028137707398088622,220,0.0045701849836779105,4.0,0.75
117,The Rice Noodle,$,3.5,10012.0,40.729087,-74.001525,77,27,5,-121.73307692307691,0.01833153350196934,770,0.016539717083786723,3.5,0.625
118,Chen's Buffet Bar,$,4.0,10038.0,40.70712,-74.00845,22,21,29,-27.5,0.027942645823999437,220,0.0045701849836779105,4.0,0.75
119,Peking Duck House,$$$,3.5,10022.0,40.756912,-73.968109,316,37,11,770.873,0.10937108717840688,3160,0.06855277475516866,3.5,0.625
120,Shanghai Mong,$$,3.0,10001.0,40.747611999511705,-73.9871597290039,397,46,15,677.6877777777778,0.09986684867983585,3970,0.08618063112078346,3.0,0.5
121,99 Favor Taste - St. Marks,$$,4.0,10003.0,40.728833,-73.98809399999999,69,53,2,-48.50285714285718,0.025800501837251206,690,0.014798694232861806,4.0,0.75
122,May Wah Fast Food,$,4.0,10013.0,40.718135,-73.998497,242,219,11,85.6233333333333,0.03948043168868726,2420,0.05244831338411317,4.0,0.75
123,Kung Fu Little Steamed Buns Ramen,$$,3.5,10019.0,40.761628663416204,-73.9868181646996,713,48,22,1279.75,0.16127296881907707,7130,0.15495103373231775,3.5,0.625
124,S Wan Cafe,$,4.0,10002.0,40.717290000000006,-73.99269,75,228,4,-59.5,0.02467887046669021,750,0.016104461371055496,4.0,0.75
125,Hot Kitchen,$$,3.5,10003.0,40.72741,-73.9881599,368,49,0,549.4971428571428,0.08679230382696734,3680,0.07986942328618063,3.5,0.625
126,Nyonya,$$,4.0,10013.0,40.7190148,-73.9968228,1649,221,10,3141.6233333333334,0.35117097831171823,16490,0.35865070729053317,4.0,0.75
127,Super Taste,$,4.0,10002.0,40.715109999999996,-73.99332,421,225,3,286.5,0.059968441517596206,4210,0.09140369967355821,4.0,0.75
128,China North Dumpling,$,4.0,10002.0,40.715827000000004,-73.98984499999999,252,203,5,117.5,0.04273162791180686,2520,0.054624591947769315,4.0,0.75
129,Great NY Noodle Town,$,3.5,10013.0,40.7150363828814,-73.9971172437072,1020,225,0,863.6233333333333,0.11883097006326779,10200,0.2217627856365615,3.5,0.625
130,108 Food Dried Hot Pot,$$,3.5,10025.0,40.80271,-73.96738,48,23,3,-49.00333333333333,0.02574945677920758,480,0.010228509249183896,3.5,0.625
131,Shanghai Asian Cuisine,$$,4.0,10013.0,40.7159077,-73.997383,365,225,0,573.6233333333333,0.08925300588765295,3650,0.07921653971708378,4.0,0.75
132,Ramen Thukpa,$$,4.0,10014.0,40.7319755554199,-74.0039749145508,166,24,8,25.533636363636333,0.03335170443250365,1660,0.035908596300326445,4.0,0.75
133,Dumpling Kingdom,$,3.5,10012.0,40.729650299999996,-73.99955770000001,166,29,3,-32.73307692307691,0.027408908714485623,1660,0.035908596300326445,3.5,0.625
134,Kung Fu Little Steamed Buns Ramen,$$,3.0,10022.0,40.7592514705491,-73.96942947059871,189,40,13,200.873,0.0512350886263363,1890,0.040914036996735584,3.0,0.5
135,Dong Chun Hong,$$,3.5,10001.0,40.7470559,-73.985959,228,52,10,339.6877777777778,0.06539322146825716,2280,0.04940152339499456,3.5,0.625
136,Hunan Delight,$$,3.5,10075.0,40.770678000000004,-73.951296,153,21,0,170.79,0.04816683381152587,1530,0.033079434167573446,3.5,0.625
137,Taste Good,$,3.5,10010.0,40.743383671873396,-73.9901636441803,69,38,20,-0.5875000000000057,0.030687531895986452,690,0.014798694232861806,3.5,0.625
138,Lin's Gourmet,$,3.5,10022.0,40.759890999999996,-73.965187,44,38,4,-133.127,0.017169433334421263,440,0.009357997823721436,3.5,0.625
139,Legend Bar & Restaurant,$$,3.0,10011.0,40.73956,-73.99918000000001,282,24,32,419.13,0.07349577044384378,2820,0.06115342763873776,3.0,0.5
140,Hop Lee Restaurant,$$,4.0,10013.0,40.714259999999996,-73.99849,219,219,0,281.62333333333333,0.05947105575220627,2190,0.04744287268770402,4.0,0.75
141,Ho Yip Restaurant,$,3.5,10006.0,40.70967720000001,-74.0120047,220,26,36,122.5,0.043241592811386426,2200,0.04766050054406964,3.5,0.625
142,Wo Hop,$$,3.5,10013.0,40.714223903458205,-73.9988691693115,1058,219,0,1959.6233333333332,0.23061527605110874,10580,0.23003264417845484,3.5,0.625
143,Hop Won Restaurant,$,3.0,10017.0,40.7533111572266,-73.9739227294922,121,48,5,45.849999999999994,0.035423830900831677,1210,0.026115342763873776,3.0,0.5
144,Uncle Luoyang,$$,3.5,10025.0,40.80023,-73.96625999999999,79,23,5,12.99666666666667,0.0320730215339942,790,0.016974972796517954,3.5,0.625
145,Hong Kong Chinese Restaurant,$,3.5,10016.0,40.7444,-73.98146,28,59,16,-31.922500000000007,0.027491581870321306,280,0.0058759521218716,3.5,0.625
146,Canteen 82,$$,3.0,10024.0,40.78406,-73.97354,180,15,2,223.51999999999998,0.053544923642491984,1800,0.038955386289445046,3.0,0.5
147,La Dinastia,$$,3.5,10023.0,40.77833,-73.98021999999999,127,11,4,251.5,0.05639868722053924,1270,0.027421109902067465,3.5,0.625
148,Asian Spicy Curry Pop-up,$,4.5,10013.0,40.715031,-73.99931,109,222,0,-47.376666666666694,0.025915365359870796,1090,0.0235038084874864,4.5,0.875
149,Bo Ky Restaurant,$,3.5,10013.0,40.7158451,-73.9987067,591,225,5,434.62333333333333,0.075075981679341,5910,0.12840043525571274,3.5,0.625
150,RedFarm,$$$,3.5,10014.0,40.7342,-74.00652,546,21,4,1331.5336363636363,0.1665545362026864,5460,0.11860718171926006,3.5,0.625
151,New Double Dragon,$,4.0,10003.0,40.7242431,-73.9881041,46,49,4,-140.50285714285718,0.016417147684987185,460,0.009793253536452665,4.0,0.75
152,New Moon,$$,5.0,10016.0,40.74692,-73.97766,4,50,0,-51.92250000000001,0.02545172227200304,40,0.0006528835690968443,5.0,1.0
153,Hyo Dong Gak,$$,3.5,10001.0,40.750167,-73.986186,341,47,14,565.6877777777778,0.08844363492925356,3410,0.07399347116430903,3.5,0.625
154,Wok City,$,3.0,10023.0,40.7752417820046,-73.98387664539601,64,7,6,61.5,0.037020021036515714,640,0.013710554951033732,3.0,0.5
155,Lili's 57,$$,3.5,10019.0,40.76554,-73.98046,218,27,28,289.75,0.06029991870232292,2180,0.047225244831338414,3.5,0.625
156,Lan Sheng Szechuan Food Restaurant,$$,3.5,10018.0,40.7517141867087,-73.9883603449123,38,45,23,3.7056521739130517,0.031125403279436324,380,0.008052230685527748,3.5,0.625
157,Mr Bing,$$,4.0,10009.0,40.72712,-73.98362,5,50,0,-108.7725,0.019653421363783376,50,0.0008705114254624592,4.0,0.75
158,Sing Kee Seafood Restaurant,$$,4.0,10013.0,40.71555,-73.99672,151,226,0,145.6233333333333,0.04560001048364206,1510,0.03264417845484222,4.0,0.75
159,Home's Kitchen Chinese Restaurant,$$,3.5,10010.0,40.73944,-73.98913,157,40,17,244.4125,0.05567581197538521,1570,0.03394994559303591,3.5,0.625
160,Mei Yu Spring,$,4.0,10002.0,40.7125753536096,-73.99717624707459,40,210,0,-94.5,0.021109116169633246,400,0.008487486398258977,4.0,0.75
161,Sammy's Noodle Shop & Grill,$$,3.5,10011.0,40.73516,-73.99875,381,30,14,617.13,0.09369038046719462,3810,0.08269858541893363,3.5,0.625
162,Hop Kee,$$,4.0,10013.0,40.714416,-73.999023,654,219,0,1151.6233333333332,0.1482049482790508,6540,0.14211099020674647,4.0,0.75
163,Ollie's Noodle Shop & Grille,$$,3.0,10025.0,40.79942,-73.96868,87,25,5,28.99666666666667,0.03370490921264881,870,0.018715995647442873,3.0,0.5
164,Dragon Noodle and Grill,$,4.0,10013.0,40.71744,-74.00024,76,218,15,-80.3766666666667,0.022549597022645657,760,0.01632208922742111,4.0,0.75
165,Shanghai Cafe,$,3.5,10013.0,40.717259999999996,-73.99721,1923,223,7,1766.6233333333332,0.2109306309273375,19230,0.41828073993471165,3.5,0.625
166,A & C Kitchen,$,3.5,10009.0,40.7250407,-73.9779719,22,24,0,-96.7725,0.020877337122774335,220,0.0045701849836779105,3.5,0.625
167,Taiwan Bear House,$,4.0,10013.0,40.7147185237041,-73.99779662180671,216,222,0,59.623333333333306,0.03682861421087352,2160,0.046789989118607184,4.0,0.75
168,Jing Fong,$$,3.0,10024.0,40.7827096147799,-73.9789128775797,61,14,4,-14.480000000000018,0.029270594422504626,610,0.013057671381936888,3.0,0.5
169,Evergreen On 38,$$,3.5,10016.0,40.75051,-73.98192,177,58,1,294.0775,0.060741293322909035,1770,0.03830250272034821,3.5,0.625
170,Chef Yu,$$,3.0,10018.0,40.753574,-73.99188199999999,447,38,23,821.705652173913,0.11455566085065338,4470,0.0970620239390642,3.0,0.5
171,Grand Sichuan Eastern,$$,3.0,10011.0,40.7425,-74.00013,83,21,12,21.129999999999995,0.032902564437310294,830,0.017845484221980415,3.0,0.5
172,Harvest Chinese & Thai Cuisine,$$,3.5,10075.0,40.771812,-73.952659,62,23,0,-11.210000000000008,0.029604111466829657,620,0.013275299238302504,3.5,0.625
173,Xi'an Famous Foods,$,4.0,10013.0,40.715082,-73.997342,768,225,0,611.6233333333333,0.09312873912445765,7680,0.16692056583242654,4.0,0.75
174,Mr Bing,$$,3.5,10021.0,40.7543376550143,-73.976532557234,109,45,13,71.41833333333338,0.038031621408981725,1090,0.0235038084874864,3.5,0.625
